18
27
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
1 3 6
1 5 9
1 8 8
1 15 8
2 3 8
3 1 6
3 2 8
3 6 1
3 7 5
4 7 5
5 1 9
5 6 8
5 9 2
6 3 1
6 5 8
6 7 9
6 9 6
7 3 5
7 4 5
7 6 9
7 11 7
8 1 8
8 12 6
9 5 2
9 6 6
9 10 5
9 13 7
10 9 5
10 14 6
11 7 7
11 14 4
11 18 2
12 8 6
12 13 4
12 15 9
13 9 7
13 12 4
13 16 1
14 10 6
14 11 4
14 17 2
14 18 8
15 1 8
15 12 9
16 13 1
16 17 1
16 18 2
17 14 2
17 16 1
17 18 5
18 11 2
18 14 8
18 16 2
18 17 5
